Accident ID,Final_Category_Path,Cosine,Rank,Selected,Below_UNCAT_Threshold,Parent,Parent_Sim,Parent_Margin,Parent_LowConf
367,pentane,0.5109174847602844,1,True,False,pentane,0.5109174847602844,0.0351794958114624,False
264,Incident Type > Fire > Liquid substance fire,0.5281820297241211,1,True,False,Incident Type,0.5281820297241211,0.005053877830505371,True
264,Incident Type > Fire > vapor substance fire,0.5058354139328003,2,True,False,Incident Type,0.5281820297241211,0.005053877830505371,True
861,causes > Equipment Failure > Mechanical equipment failure > Accidental opening > Disconnect during filling,0.4671480357646942,1,True,False,causes,0.4671480357646942,0.030528515577316284,False
861,causes > Process Upsets > Underpressure > Underpressure (pressure below the containment limit of the vessel) > Condensation,0.4583454728126526,2,True,False,causes,0.4671480357646942,0.030528515577316284,False
1223,equipment > Process Equipment > Pressure Raising or Reducing Equipment > Pump or Compressor Components > Seal,0.4449031352996826,1,True,False,equipment,0.4449031352996826,0.0076441168785095215,True
1223,equipment > Process Equipment > Pressure Raising or Reducing Equipment > Compressor > Strainer,0.4267629086971283,2,True,False,equipment,0.4449031352996826,0.0076441168785095215,True
1090,Incident Type > Explosion > Dust explosion overpressures enclosure,0.5556511282920837,1,True,False,Incident Type,0.5556511282920837,0.0914197564125061,False
1090,Incident Type > Explosion > Dust explosion,0.5161943435668945,2,True,False,Incident Type,0.5556511282920837,0.0914197564125061,False
326,Equipment > Static Equipment > Piping > Flanges > Gasket leak,0.49056941270828247,1,True,False,Equipment,0.49056941270828247,0.04718020558357239,False
326,Equipment > Static Equipment > Piping > Flanges > Gasket failure,0.4789498746395111,2,True,False,Equipment,0.49056941270828247,0.04718020558357239,False
891,Incident Type > Fire > fire-water,0.5163183212280273,1,True,False,Incident Type,0.5163183212280273,0.018598467111587524,True
891,Incident Type > Fire > Liquid substance fire,0.5144695043563843,2,True,False,Incident Type,0.5163183212280273,0.018598467111587524,True
63,Loss of Containment > Spills > oil-spill,0.5253133177757263,1,True,False,Loss of Containment,0.5253133177757263,0.04461640119552612,False
63,Loss of Containment > Spills,0.4233485460281372,2,True,False,Loss of Containment,0.5253133177757263,0.04461640119552612,False
880,Incident Type > Explosion > Chemical Explosion,0.644071102142334,1,True,False,Incident Type,0.644071102142334,0.05215364694595337,False
880,Incident Type > Explosion > Runaway reaction and explosion,0.600771427154541,2,True,False,Incident Type,0.644071102142334,0.05215364694595337,False
930,Incident Type > Fire > vapor substance fire,0.5871196985244751,1,True,False,Incident Type,0.5871196985244751,0.05155742168426514,False
930,Incident Type > Explosion > vapor explosion,0.5771773457527161,2,True,False,Incident Type,0.5871196985244751,0.05155742168426514,False
1254,Incident Type > Fire > fire-water,0.5287508964538574,1,True,False,Incident Type,0.5287508964538574,0.029867112636566162,False
1254,Incident Type > Fire > Liquid substance fire,0.5242290496826172,2,True,False,Incident Type,0.5287508964538574,0.029867112636566162,False
505,consequences > Explosion > Chemical Explosion > Runaway reaction and explosion > Toxic release,0.5177377462387085,1,True,False,consequences,0.5177377462387085,0.01051187515258789,True
505,consequences > Release of Substance > Toxic gas > vapor release > Contamination,0.4779648780822754,2,True,False,consequences,0.5177377462387085,0.01051187515258789,True
775,hydrolysis,0.4733962416648865,1,True,False,hydrolysis,0.4733962416648865,0.005726903676986694,True
1244,consequences > Plant > Property > Equipment > Leak > Rupture > Tank leak > rupture,0.5437217950820923,1,True,False,consequences,0.5437217950820923,0.07026273012161255,False
1244,consequences > Plant > Property > Equipment > Leak > Rupture,0.5242428779602051,2,True,False,consequences,0.5437217950820923,0.07026273012161255,False
120,causes > Chemical Causes > Accidental mixing > Contamination,0.4865362048149109,1,True,False,causes,0.4865362048149109,0.050559282302856445,False
120,causes > Chemical Causes > Accidental mixing > Contamination > Presence of liquid vector,0.46471908688545227,2,True,False,causes,0.4865362048149109,0.050559282302856445,False
1242,butadiene,0.5017278790473938,1,True,False,butadiene,0.5017278790473938,0.04497730731964111,False
770,consequences > Fire > Gas > vapor substance fire > Toxic cloud,0.548160195350647,1,True,False,consequences,0.548160195350647,0.041801393032073975,False
770,consequences > Fire > Gas > vapor substance fire > Ecological damage,0.5360671281814575,2,True,False,consequences,0.548160195350647,0.041801393032073975,False
974,refineryfluid,0.5647522211074829,1,True,False,refineryfluid,0.5647522211074829,0.06365585327148438,False
944,urea-ammonium,0.4598698318004608,1,True,False,urea-ammonium,0.4598698318004608,0.02204081416130066,True
753,Incident Type > Explosion > Gas explosion,0.595022976398468,1,True,False,Incident Type,0.595022976398468,0.049820661544799805,False
753,Incident Type > Explosion > Chemical Explosion,0.5555816888809204,2,True,False,Incident Type,0.595022976398468,0.049820661544799805,False
609,Incident Type > Explosion > Chemical Explosion,0.5653202533721924,1,True,False,Incident Type,0.5653202533721924,0.046935856342315674,False
609,Incident Type > Explosion > Runaway reaction and explosion,0.5547369122505188,2,True,False,Incident Type,0.5653202533721924,0.046935856342315674,False
1031,Incident Type > Explosion > Chemical Explosion,0.5106838345527649,1,True,False,Incident Type,0.5106838345527649,0.018937379121780396,True
1031,Incident Type > Fire > Liquid substance fire,0.4880474805831909,2,True,False,Incident Type,0.5106838345527649,0.018937379121780396,True
953,Incident Type > Explosion > Gas explosion,0.5369882583618164,1,True,False,Incident Type,0.5369882583618164,0.04402267932891846,False
953,Incident Type > Explosion > Runaway reaction and explosion,0.5184594988822937,2,True,False,Incident Type,0.5369882583618164,0.04402267932891846,False
87,Incident Type > Fire > Fire extinguishers,0.5397929549217224,1,True,False,Incident Type,0.5397929549217224,0.037765443325042725,False
87,Incident Type > Fire > fire-water,0.5272127389907837,2,True,False,Incident Type,0.5397929549217224,0.037765443325042725,False
284,chlorate,0.55059814453125,1,True,False,chlorate,0.55059814453125,0.007526695728302002,True
649,fires,0.5330248475074768,1,True,False,fires,0.5330248475074768,0.012104630470275879,True
842,equipment > Facilities > Refinery,0.4857637882232666,1,True,False,equipment,0.4857637882232666,0.0048452019691467285,True
842,equipment > Process Equipment > Cracking Equipment > Catalytic Cracker,0.4686738848686218,2,True,False,equipment,0.4857637882232666,0.0048452019691467285,True
394,causes > Chemical Causes > Hazardous material storage > Storage of a flammable product,0.48831743001937866,1,True,False,causes,0.48831743001937866,0.0384674072265625,False
394,causes > Chemical Causes > Hazardous material storage,0.4508418142795563,2,True,False,causes,0.48831743001937866,0.0384674072265625,False
605,Incident Type > Explosion > Runaway reaction and explosion,0.548897385597229,1,True,False,Incident Type,0.548897385597229,0.05528959631919861,False
605,Incident Type > Explosion,0.5440191626548767,2,True,False,Incident Type,0.548897385597229,0.05528959631919861,False
983,Incident Type > Explosion > Explosion vents,0.49710333347320557,1,True,False,Incident Type,0.49710333347320557,0.018708884716033936,True
983,Incident Type > Explosion > Gas explosion,0.48679059743881226,2,True,False,Incident Type,0.49710333347320557,0.018708884716033936,True
1066,consequences > Explosion > Chemical Explosion > Gas explosion > Overpressure generation,0.5440675020217896,1,True,False,consequences,0.5440675020217896,0.009422779083251953,True
1066,consequences > Explosion > Chemical Explosion > Runaway reaction and explosion > Overpressure generation,0.5186887979507446,2,True,False,consequences,0.5440675020217896,0.009422779083251953,True
430,Incident Type > Explosion > Vapor Cloud Explosion,0.5043705105781555,1,True,False,Incident Type,0.5043705105781555,0.07044577598571777,False
430,Incident Type > Explosion > vapor explosion,0.4702446758747101,2,True,False,Incident Type,0.5043705105781555,0.07044577598571777,False
551,chemicals > Hazard Classification,0.5663244128227234,1,True,False,chemicals,0.5663244128227234,0.010912001132965088,True
551,chemicals > Hazard Classification > Health Hazard,0.5462706089019775,2,True,False,chemicals,0.5663244128227234,0.010912001132965088,True
1397,Incident Type > Fire > Fire extinguishers,0.5353100895881653,1,True,False,Incident Type,0.5353100895881653,0.033460140228271484,False
1397,Incident Type > Fire > fire-brigade,0.5213039517402649,2,True,False,Incident Type,0.5353100895881653,0.033460140228271484,False
277,consequences > Fire > Liquid substance fire > Tank fire > Boilover and resulting poolfire,0.4703746438026428,1,True,False,consequences,0.4703746438026428,0.0046187639236450195,True
277,consequences > Plant > Property > Equipment > Leak > Rupture > Tank leak > rupture,0.4264862537384033,2,True,False,consequences,0.4703746438026428,0.0046187639236450195,True
391,consequences > Release of Substance > Toxic gas > vapor release > Contamination,0.5380590558052063,1,True,False,consequences,0.5380590558052063,0.04554295539855957,False
391,consequences > Release of Substance > Toxic gas > vapor release,0.5213574171066284,2,True,False,consequences,0.5380590558052063,0.04554295539855957,False
1282,lpg-fuelled,0.6031904816627502,1,True,False,lpg-fuelled,0.6031904816627502,0.04785656929016113,False
107,causes > Process Upsets > Overheating > High temperature > Natural event (lightning),0.41345521807670593,1,True,False,causes,0.41345521807670593,0.038973480463027954,False
107,causes > Process Upsets > Overheating > Temporary (or permanent) energy source > Natural event (lightning),0.40457457304000854,2,True,False,causes,0.41345521807670593,0.038973480463027954,False
1267,Incident Type > Explosion > explosion suppression,0.47384464740753174,1,True,False,Incident Type,0.47384464740753174,0.03735244274139404,False
1267,Incident Type > Explosion > Explosion vents,0.4323371648788452,2,True,False,Incident Type,0.47384464740753174,0.03735244274139404,False
589,Incident Type > Explosion > Chemical Explosion,0.6475844383239746,1,True,False,Incident Type,0.6475844383239746,0.06402587890625,False
589,Incident Type > Explosion > Runaway reaction and explosion,0.562066912651062,2,True,False,Incident Type,0.6475844383239746,0.06402587890625,False
832,consequences > Release of Substance > Toxic gas > vapor release > Contamination,0.5316857099533081,1,True,False,consequences,0.5316857099533081,0.0032256245613098145,True
832,consequences > Release of Substance > Flammable gas > vapor release,0.50984126329422,2,True,False,consequences,0.5316857099533081,0.0032256245613098145,True
1169,ethylene,0.5048544406890869,1,True,False,ethylene,0.5048544406890869,0.02009841799736023,True
1130,Loss of Containment > Leaks > Gas escaping from a breach or leak (domino effect),0.4748319089412689,1,True,False,Loss of Containment,0.4748319089412689,0.011484295129776001,True
917,operation > Transportation > Pipeline,0.42254358530044556,1,True,False,operation,0.42254358530044556,0.0010578334331512451,True
1082,refineryfluid,0.5007970929145813,1,True,False,refineryfluid,0.5007970929145813,0.03507167100906372,False
68,in-leakage,0.5823798775672913,1,True,False,in-leakage,0.5823798775672913,0.031692326068878174,False
353,Incident Type > Fire > Liquid substance fire,0.6317919492721558,1,True,False,Incident Type,0.6317919492721558,0.03873908519744873,False
353,Incident Type > Explosion > Chemical Explosion,0.6234760880470276,2,True,False,Incident Type,0.6317919492721558,0.03873908519744873,False
934,equipment > Process Equipment > Separation Equipment > Solid-solid separation > Sieve,0.5629609823226929,1,True,False,equipment,0.5629609823226929,0.022865593433380127,True
934,equipment > Storage Equipment > Solids Storage > Hopper,0.49448806047439575,2,True,False,equipment,0.5629609823226929,0.022865593433380127,True
640,Loss of Containment > Leaks,0.5082039833068848,1,True,False,Loss of Containment,0.5082039833068848,0.023631006479263306,True
640,"Loss of Containment > Leaks > Leak, entrainment from a nearby equipment (domino effect)",0.4947706460952759,2,True,False,Loss of Containment,0.5082039833068848,0.023631006479263306,True
374,Incident Type > Explosion > Gas explosion,0.6178038120269775,1,True,False,Incident Type,0.6178038120269775,0.048337459564208984,False
374,Incident Type > Explosion > Chemical Explosion,0.5748326778411865,2,True,False,Incident Type,0.6178038120269775,0.048337459564208984,False
237,Incident Type > Explosion > Chemical Explosion,0.6108156442642212,1,True,False,Incident Type,0.6108156442642212,0.03573620319366455,False
237,Incident Type > Explosion > Runaway reaction and explosion,0.5951024293899536,2,True,False,Incident Type,0.6108156442642212,0.03573620319366455,False
681,causes > Chemical Causes > Unwanted chemical reaction > Runaway reaction,0.5776609778404236,1,True,False,causes,0.5776609778404236,0.0053008198738098145,True
681,causes > Chemical Causes > Unwanted chemical reaction,0.5641132593154907,2,True,False,causes,0.5776609778404236,0.0053008198738098145,True
837,Loss of Containment > Leaks > Gas escaping from a breach or leak (domino effect),0.4576626121997833,1,True,False,Loss of Containment,0.4576626121997833,0.023905545473098755,True
837,Loss of Containment > Leaks > leak-tight,0.4362436532974243,2,True,False,Loss of Containment,0.4576626121997833,0.023905545473098755,True
1177,biogas-generating,0.5581077337265015,1,True,False,biogas-generating,0.5581077337265015,0.053460121154785156,False
460,runaway-reactions,0.6357946395874023,1,True,False,runaway-reactions,0.6357946395874023,0.011699438095092773,True
1176,gassing,0.5112977027893066,1,True,False,gassing,0.5112977027893066,0.00355374813079834,True
267,Incident Type > Explosion > Physical Explosion,0.5900464057922363,1,True,False,Incident Type,0.5900464057922363,0.07787394523620605,False
267,Incident Type > Explosion > Runaway reaction and explosion,0.5575516819953918,2,True,False,Incident Type,0.5900464057922363,0.07787394523620605,False
1057,consequences > Release of Substance > Toxic gas > vapor release > Contamination,0.476448118686676,1,True,False,consequences,0.476448118686676,0.007894337177276611,True
1057,consequences > Release of Substance > Toxic gas > vapor release,0.4573442041873932,2,True,False,consequences,0.476448118686676,0.007894337177276611,True
924,causes > Chemical Causes > Accidental mixing > Contamination,0.46767789125442505,1,True,False,causes,0.46767789125442505,0.02587491273880005,False
924,causes > Chemical Causes > Accidental mixing > Contamination > Presence of liquid vector,0.4650801420211792,2,True,False,causes,0.46767789125442505,0.02587491273880005,False
442,bursting,0.49144211411476135,1,True,False,bursting,0.49144211411476135,0.031092524528503418,False
360,Incident Type > Explosion > Chemical Explosion,0.6033251285552979,1,True,False,Incident Type,0.6033251285552979,0.01918947696685791,True
360,Incident Type > Explosion > Runaway reaction and explosion,0.5746737718582153,2,True,False,Incident Type,0.6033251285552979,0.01918947696685791,True
911,Incident Type > Explosion > Chemical Explosion,0.5277957916259766,1,True,False,Incident Type,0.5277957916259766,0.06357121467590332,False
911,Incident Type > Explosion > Runaway reaction and explosion,0.5234174728393555,2,True,False,Incident Type,0.5277957916259766,0.06357121467590332,False
1008,electroplating,0.5370801687240601,1,True,False,electroplating,0.5370801687240601,0.005581021308898926,True
642,Incident Type > Explosion > Chemical Explosion,0.5912543535232544,1,True,False,Incident Type,0.5912543535232544,0.07737404108047485,False
642,Incident Type > Explosion > Runaway reaction and explosion,0.574694812297821,2,True,False,Incident Type,0.5912543535232544,0.07737404108047485,False
197,Incident Type > Fire > Liquid substance fire,0.5454513430595398,1,True,False,Incident Type,0.5454513430595398,0.04678678512573242,False
197,Incident Type > Explosion > Chemical Explosion,0.5257490873336792,2,True,False,Incident Type,0.5454513430595398,0.04678678512573242,False
850,ethanol,0.6370381116867065,1,True,False,ethanol,0.6370381116867065,0.12075001001358032,False
613,Incident Type > Explosion > Vapor Cloud Explosion,0.5538684725761414,1,True,False,Incident Type,0.5538684725761414,0.06497552990913391,False
613,Incident Type > Explosion > vapor explosion,0.4802677035331726,2,True,False,Incident Type,0.5538684725761414,0.06497552990913391,False
225,Incident Type > Explosion > Runaway reaction and explosion,0.6421686410903931,1,True,False,Incident Type,0.6421686410903931,0.07752001285552979,False
225,Incident Type > Explosion,0.6384271383285522,2,True,False,Incident Type,0.6421686410903931,0.07752001285552979,False
1243,boilers,0.5774252414703369,1,True,False,boilers,0.5774252414703369,0.03461885452270508,False
307,Incident Type > Explosion > Vapor Cloud Explosion,0.6114577054977417,1,True,False,Incident Type,0.6114577054977417,0.04449111223220825,False
307,Incident Type > Explosion > vapor explosion,0.5826312303543091,2,True,False,Incident Type,0.6114577054977417,0.04449111223220825,False
606,"causes > Process Upsets > Overheating > Temporary (or permanent) energy source > Combustion flame or heat (gas flame welding, smoking)",0.563146710395813,1,True,False,causes,0.563146710395813,0.06834578514099121,False
