Accident ID,Final_Category_Path,Cosine,Rank,Selected,Below_UNCAT_Threshold,Parent,Parent_Sim,Parent_Margin,Parent_LowConf,Consolidated_Path
1050,Loss of Containment > Spills > polluting spill,0.4467625617980957,2,True,False,Loss of Containment,0.5527265071868896,0.06574290990829468,False,loss of containment > spill > polluting spill
603,cyanohydrin,0.5587424635887146,1,True,False,cyanohydrin,0.5587424635887146,0.08991289138793945,False,cyanohydrin
1289,consequences > Fire > Liquid substance fire > Poolfire,0.498452752828598,1,True,False,consequences,0.498452752828598,0.02055540680885315,True,consequenc > fire > liquid substance fire > poolfire
1289,consequences > Explosion > Chemical Explosion > Runaway reaction and explosion > Overpressure generation,0.4818219542503357,2,True,False,consequences,0.498452752828598,0.02055540680885315,True,consequenc > explosion > chemical explosion > runaway reaction and explosion > overpressure generation
403,Incident Type > Explosion,0.610241174697876,1,True,False,Incident Type,0.610241174697876,0.10054242610931396,False,incident type > explosion
403,Incident Type > Explosion > Dust explosion,0.6082720756530762,2,True,False,Incident Type,0.610241174697876,0.10054242610931396,False,incident type > explosion > dust explosion
1125,causes > Process Upsets > Flameout,0.5254147052764893,1,True,False,causes,0.5254147052764893,0.018774211406707764,True,caus > process upsets > flameout
1125,"causes > Process Upsets > Overheating > Temporary (or permanent) energy source > Combustion flame or heat (gas flame welding, smoking)",0.47094255685806274,2,True,False,causes,0.5254147052764893,0.018774211406707764,True,"caus > process upsets > overheat > temporary (or permanent) energy source > combustion flame or heat (gas flame welding, smoking)"
190,Incident Type > Explosion > Vapor Cloud Explosion,0.46630480885505676,1,True,False,Incident Type,0.46630480885505676,0.007039457559585571,True,incident type > explosion > vapor cloud explosion
190,Incident Type > Explosion > vapor explosion,0.4587808847427368,2,True,False,Incident Type,0.46630480885505676,0.007039457559585571,True,incident type > explosion > vapor explosion
1171,causes > Process Upsets > Frothing,0.451172411441803,1,True,False,causes,0.451172411441803,0.03520500659942627,False,caus > process upsets > froth
1171,causes > Process Upsets > Exothermic reaction,0.4508047103881836,2,True,False,causes,0.451172411441803,0.03520500659942627,False,caus > process upsets > exothermic reaction
1095,Incident Type > Fire > Fire extinguishers,0.6033961176872253,1,True,False,Incident Type,0.6033961176872253,0.024819791316986084,True,incident type > fire > fire extinguishers
1095,Incident Type > Fire > Fire Suppression,0.5816411972045898,2,True,False,Incident Type,0.6033961176872253,0.024819791316986084,True,incident type > fire > fire suppression
1186,Incident Type > Fire > vapor substance fire,0.4971080422401428,1,True,False,Incident Type,0.4971080422401428,0.016319185495376587,True,incident type > fire > vapor substance fire
1186,Incident Type > Fire > Liquid substance fire,0.4885480999946594,2,True,False,Incident Type,0.4971080422401428,0.016319185495376587,True,incident type > fire > liquid substance fire
1268,Incident Type > Explosion > Chemical Explosion,0.7106298208236694,1,True,False,Incident Type,0.7106298208236694,0.04410123825073242,False,incident type > explosion > chemical explosion
1268,Incident Type > Explosion > Runaway reaction and explosion,0.6669634580612183,2,True,False,Incident Type,0.7106298208236694,0.04410123825073242,False,incident type > explosion > runaway reaction and explosion
1117,locomotives,0.4198380708694458,1,True,False,locomotives,0.4198380708694458,0.00525328516960144,True,locomotiv
173,Incident Type > Fire > Fire extinguishers,0.5230644941329956,1,True,False,Incident Type,0.5230644941329956,0.015609264373779297,True,incident type > fire > fire extinguishers
173,Incident Type > Fire > External fire & rescue service,0.5169621109962463,2,True,False,Incident Type,0.5230644941329956,0.015609264373779297,True,incident type > fire > external fire & rescue service
1170,ethylene-propylene-rubber,0.4889172315597534,1,True,False,ethylene-propylene-rubber,0.4889172315597534,0.0013387203216552734,True,ethylene-propylene-rubber
513,Incident Type > Fire > fire-uk,0.518267035484314,1,True,False,Incident Type,0.518267035484314,0.03894859552383423,False,incident type > fire > fire-uk
513,Incident Type > Fire > Liquid substance fire,0.5145366787910461,2,True,False,Incident Type,0.518267035484314,0.03894859552383423,False,incident type > fire > liquid substance fire
537,cyanide,0.45336151123046875,1,True,False,cyanide,0.45336151123046875,0.06718799471855164,False,cyanide
546,Incident Type > Explosion > Chemical Explosion,0.5656541585922241,1,True,False,Incident Type,0.5656541585922241,0.00319063663482666,True,incident type > explosion > chemical explosion
546,Incident Type > Fire > Liquid substance fire,0.5563791394233704,2,True,False,Incident Type,0.5656541585922241,0.00319063663482666,True,incident type > fire > liquid substance fire
172,propane,0.5567547082901001,1,True,False,propane,0.5567547082901001,0.025854289531707764,False,propane
86,Incident Type > Fire > Liquid substance fire,0.5497516393661499,1,True,False,Incident Type,0.5497516393661499,0.02067488431930542,True,incident type > fire > liquid substance fire
86,Incident Type > Fire > vapor substance fire,0.5330460071563721,2,True,False,Incident Type,0.5497516393661499,0.02067488431930542,True,incident type > fire > vapor substance fire
268,Incident Type > Explosion > Runaway reaction and explosion,0.5992591381072998,1,True,False,Incident Type,0.5992591381072998,0.01185309886932373,True,incident type > explosion > runaway reaction and explosion
268,Incident Type > Explosion,0.5918024182319641,2,True,False,Incident Type,0.5992591381072998,0.01185309886932373,True,incident type > explosion
355,Incident Type > Explosion > Chemical Explosion,0.5944805145263672,1,True,False,Incident Type,0.5944805145263672,0.049817681312561035,False,incident type > explosion > chemical explosion
355,Incident Type > Explosion > explosion-proof,0.5785007476806641,2,True,False,Incident Type,0.5944805145263672,0.049817681312561035,False,incident type > explosion > explosion-proof
987,consequences > Fire > Liquid substance fire > Tank fire > Boilover and resulting poolfire,0.5860313177108765,1,True,False,consequences,0.5860313177108765,0.03552597761154175,False,consequenc > fire > liquid substance fire > tank fire > boilover and resulting poolfire
987,consequences > Fire > Liquid substance fire > Ecological damage,0.5722627639770508,2,True,False,consequences,0.5860313177108765,0.03552597761154175,False,consequenc > fire > liquid substance fire > ecological damage
809,acid-contaminated,0.44349223375320435,1,True,False,acid-contaminated,0.44349223375320435,0.02729654312133789,False,acid-contaminat
673,ammoniated,0.5035849809646606,1,True,False,ammoniated,0.5035849809646606,0.011429011821746826,True,ammoniat
941,acid-contaminated,0.5304798483848572,1,True,False,acid-contaminated,0.5304798483848572,0.023910582065582275,True,acid-contaminat
1155,methane,0.49042367935180664,1,True,False,methane,0.49042367935180664,0.0122184157371521,True,methane
153,Loss of Containment > Spills > oil-spill,0.5589520931243896,1,True,False,Loss of Containment,0.5589520931243896,0.014051079750061035,True,loss of containment > spill > oil-spill
153,Loss of Containment > Leaks,0.4948541522026062,2,True,False,Loss of Containment,0.5589520931243896,0.014051079750061035,True,loss of containment > leak
719,chlorination,0.5383983850479126,1,True,False,chlorination,0.5383983850479126,0.01478356122970581,True,chlorination
533,Equipment > Static Equipment > Vessels > Storage Tanks > Tank failure,0.5160107612609863,1,True,False,Equipment,0.5160107612609863,0.016063034534454346,True,equipment > static equipment > vessel > storage tanks > tank failure
533,Equipment > Static Equipment > Vessels > Pressure Vessels > Vessel failure,0.4667569398880005,2,True,False,Equipment,0.5160107612609863,0.016063034534454346,True,equipment > static equipment > vessel > pressure vessels > vessel failure
379,Incident Type > Explosion > Chemical Explosion,0.5837398171424866,1,True,False,Incident Type,0.5837398171424866,0.017780065536499023,True,incident type > explosion > chemical explosion
379,Incident Type > Explosion > Gas explosion,0.5812016129493713,2,True,False,Incident Type,0.5837398171424866,0.017780065536499023,True,incident type > explosion > gas explosion
831,phosphorus,0.48562824726104736,1,True,False,phosphorus,0.48562824726104736,0.009426712989807129,True,phosphoru
590,Incident Type > Explosion > Chemical Explosion,0.597243070602417,1,True,False,Incident Type,0.597243070602417,0.032321035861968994,False,incident type > explosion > chemical explosion
590,Incident Type > Explosion > Gas explosion,0.5705826282501221,2,True,False,Incident Type,0.597243070602417,0.032321035861968994,False,incident type > explosion > gas explosion
1027,Incident Type > Fire,0.6134635210037231,1,True,False,Incident Type,0.6134635210037231,0.05585193634033203,False,incident type > fire
1027,Incident Type > Fire > fire-proof,0.6123259663581848,2,True,False,Incident Type,0.6134635210037231,0.05585193634033203,False,incident type > fire > fire-proof
623,"chemicals > Hazard Classification > Physical Hazards > Pressure, High > Steam",0.4927211403846741,1,True,False,chemicals,0.4927211403846741,0.01639336347579956,True,"chemical > hazard classification > physical hazards > pressure, high > steam"
623,chemicals > Hazard Classification > Physical Hazards,0.47410255670547485,2,True,False,chemicals,0.4927211403846741,0.01639336347579956,True,chemical > hazard classification > physical hazards
933,Incident Type > Explosion > Chemical Explosion,0.5962162613868713,1,True,False,Incident Type,0.5962162613868713,0.07237046957015991,False,incident type > explosion > chemical explosion
933,Incident Type > Fire > Liquid substance fire,0.5589112043380737,2,True,False,Incident Type,0.5962162613868713,0.07237046957015991,False,incident type > fire > liquid substance fire
235,consequences > Plant > Property > Equipment > Leak > Rupture > Pipe leak > rupture,0.44582033157348633,1,True,False,consequences,0.44582033157348633,0.011310160160064697,True,consequenc > plant > property > equipment > leak > rupture > pipe leak > rupture
531,causes > External Events > Natural Phenomenon > Flooding > fracture of pipelines,0.46586525440216064,1,True,False,causes,0.46586525440216064,0.020140916109085083,True,caus > external events > natural phenomenon > flood > fracture of pipelines
531,causes > Equipment Failure > Mechanical equipment failure > Pipeline failure,0.44733351469039917,2,True,False,causes,0.46586525440216064,0.020140916109085083,True,caus > equipment failure > mechanical equipment failure > pipeline failure
75,Incident Type > Explosion > Gas explosion,0.5880950689315796,1,True,False,Incident Type,0.5880950689315796,0.1043015718460083,False,incident type > explosion > gas explosion
75,Incident Type > Explosion,0.5476683974266052,2,True,False,Incident Type,0.5880950689315796,0.1043015718460083,False,incident type > explosion
287,consequences > Plant > Property > Equipment > Leak > Rupture > Pipe leak > rupture,0.42927902936935425,1,True,False,consequences,0.42927902936935425,0.0005000829696655273,True,consequenc > plant > property > equipment > leak > rupture > pipe leak > rupture
84,Incident Type > Explosion > Gas explosion,0.5423826575279236,1,True,False,Incident Type,0.5423826575279236,0.020059823989868164,True,incident type > explosion > gas explosion
84,Incident Type > Explosion > Chemical Explosion,0.541191816329956,2,True,False,Incident Type,0.5423826575279236,0.020059823989868164,True,incident type > explosion > chemical explosion
761,sulfur,0.45998743176460266,1,True,False,sulfur,0.45998743176460266,0.006031721830368042,True,sulfur
